Q,A,label,,,,
이남희 교수님의 언어와 문화간 의사소통 프로젝트 있어?,"있어. 중간고사 대신 들어가는 팀프로젝트 1번이 핵심이라 보면 되고, 조별로 주제 정해서 조사·발표하는 형식이야.",30,,,,
이남희 교수님의 언어와 문화간 의사소통 중간고사 있어?,"따로 필기 중간고사는 없고, 중간고사 자리에 팀플(조별 발표)이 들어가는 구조야.",30,,,,
이남희 교수님의 언어와 문화간 의사소통 기말고사 있어?,"있어. 기말 필기시험 1번 보고, 문제 수는 약 40문제 정도라서 PPT 내용을 꼼꼼히 외우면 풀 수 있는 수준이야.",30,,,,
이남희 교수님의 언어와 문화간 의사소통 과제 있어?,"과제는 매주 간단한 복습퀴즈(3문제 내외) + 팀플 준비(발표 자료 만들기, 느낀 점/평가지 작성) 정도라서 엄청 많지는 않지만, 팀플 기간에는 할 게 좀 있는 편이야.",30,,,,
이남희 교수님의 언어와 문화간 의사소통 과제 어려워?,"내용 자체가 어렵진 않은데, 발표 PPT를 정보 풍부하게 채우고, 느낀 점·평가지를 꽉꽉 써야 해서 은근 공을 들여야 하는 스타일이야.",30,,,,
이남희 교수님의 언어와 문화간 의사소통 교수님 어때?,"후기에선 거의 다 소통 잘 되고, 피드백 꼼꼼한 좋은 교수님이라고 해. 강의 체계가 딱 잡혀 있고 PPT도 깔끔해서 이해하기 쉽지만, 그만큼 학생 의견·협업·자기 생각 표현을 중요하게 보고 약간 깐깐한 편이라는 말도 있어.",30,,,,
이남희 교수님의 언어와 문화간 의사소통 퀴즈 있어?,"있어. 거의 매주 복습용 퀴즈가 나오는데, 그 주 강의만 제대로 들었으면 쉽게 맞출 수 있는 수준이야.",30,,,,
이남희 교수님의 언어와 문화간 의사소통 수업 난이도는?,"내용은 교양 수준이라 이해하기 어렵지 않지만, PPT 분량이 90장 정도라 꼼꼼히 외워야 하고, 팀플·발표 평가가 디테일해서 완전 꿀교양은 아니고 열심히 하면 A+ 가능한 정도로 보면 돼.",30,,,,
이남희 교수님의 언어와 문화간 의사소통 팀플 있어?,"있어. 중간 대체 조별 발표 1번이 있고, 4~5주 이론 후 약 5주 동안 준비·발표, 나머지 시간은 다른 조 발표 듣고 평가지 작성하는 방식이라 팀플 비중이 꽤 큰 편이야.",30,,,,
이남희 교수님의 언어와 문화간 의사소통 시험 어떻게 나와?,"기말 한 번, 객관식 위주로 약 40문제 나오고, 전부 수업 PPT·복습퀴즈 기반이야. 세세한 내용까지 나와서 그냥 훑어보면 힘들고, 정리해서 2–3번 정도 돌려보면 100점 받은 후기도 있을 정도로 점수는 잘 나오는 편이야.",30,,,,
"화요일 7,8 교양 뭐 있어?",이남희 교수님의 언어와 문화간 의사소통 수업 /  박선미 교수님의 성경 속 명장면 프로덕션 수업 / 이재은 교수님의 음악으로 세상읽기 수업 / 김두중 교수님의 알기쉬운 정치·경제 수업이 있어,215,,,,
"화요일 7,8 교양 알려줘",이남희 교수님의 언어와 문화간 의사소통 수업 /  박선미 교수님의 성경 속 명장면 프로덕션 수업 / 이재은 교수님의 음악으로 세상읽기 수업 / 김두중 교수님의 알기쉬운 정치·경제 수업이 있어,215,,,,
포스트휴먼시대와 인간 온라인 수업이야?,완전 온라인(사이버) 수업이야. 녹화 강의 듣고 정해진 시간 안에 시험·과제 제출하는 형태.,31,,,,
포스트휴먼시대와 인간 프로젝트 있어?,"있어. 조별로 진행하는 토론·조별과제 형태의 프로젝트가 있고, 조별모임 자주 있으면서 느낀 점/정리글을 올리는 식이라 팀플 비중이 꽤 있는 편이야.",31,,,,
포스트휴먼시대와 인간 중간고사 있어?,"있어. 온라인으로 OX 위주의 중간시험을 보고, 시간은 짧고 문제 수는 꽤 많아서 준비 안 하면 체감 난이도가 조금 높아.",31,,,,
포스트휴먼시대와 인간 기말고사 있어?,있어. 기말도 온라인 OX 시험인데 약 40문제에 20분 정도라 기말이 특히 시간 압박이 세다는 후기가 많아.,31,,,,
포스트휴먼시대와 인간 과제 있어?,"많은 편이야. 시험 주 빼고 거의 매주 토론/에세이 과제가 있고, 10줄 이상~20줄 이상 써야 하는 주도 많아서 꾸준히 신경 써야 해.",31,,,,
포스트휴먼시대와 인간 과제 어려워?,"내용은 어렵지 않은데 분량·꾸준함이 빡세요. 정답이 있는 문제라기보다 강의 주제(사랑·포스트휴먼·철학적 논의 등)에 대한 자기 생각을 길게 쓰는 형식이라, 글 쓰는 걸 귀찮아하면 힘들 수 있어.",31,,,,
포스트휴먼시대와 인간 교수님 어때?,"수업 자체는 철학·사랑·포스트휴먼 같은 주제를 진지하게 다뤄서 유익했다는 의견도 있고, 학점 기준이 애매하고 설명이 딱딱해서 지루하고 힘들었다는 의견도 있어. 전반적으로 완전 꿀템이라기보단 “내용은 나쁘지 않은데 평가·학점에 대한 불만이 많은 수업” 쪽에 가까워.",31,,,,
포스트휴먼시대와 인간 퀴즈 있어?,"별도의 주차별 퀴즈보다는, 매주 토론/의견쓰기 과제가 퀴즈 역할을 하는 느낌이야. 시험은 중간·기말 OX로 따로 보고, 그 외엔 매주 글쓰기 과제가 메인.",31,,,,
포스트휴먼시대와 인간 수업 난이도는?,"강의 내용은 조금 철학적이라 집중 안 하면 지루·어렵게 느껴질 수 있지만, 이해 자체는 크게 어렵진 않은 중간 정도 난이도. 대신 과제 분량·시험 시간 압박 때문에 체감 난이도는 “생각보다 빡세다”는 후기가 많아",31,,,,
포스트휴먼시대와 인간 팀플 있어?,"있어. 조별모임·조별과제가 자주 있고, 조별로 정한 주제에 대해 느낀 점을 정리해서 올리거나 발표하는 식이라 팀운이 좋으면 A+, 나쁘면 스트레스라는 평가가 많아.",31,,,,
포스트휴먼시대와 인간 시험 어떻게 나와?,"온라인 OX 시험(중간·기말)로 나오고, 강의 내용·자료 기반이야. 중간: 문제 수는 상대적으로 적고 연습용 느낌.
기말: 20분 안에 40문제라 속도 싸움이고, 여러 번 응시 기회를 주긴 하지만 학점 산정 방식이 애매하다는 얘기가 많아. 강의·자료를 여러 번 꼼꼼히 보고 가야 안정적으로 점수 나오는 스타일.",31,,,,
인류공동유산의이해와보존 온라인 수업이야?,"오프라인(대면) 수업이야. 강의실에서 PPT 보면서 듣는 전형적인 대면 교양이고, 사이버/녹화강의 형태는 아니라는 후기가 많아.",32,,,,
인류공동유산의이해와보존 프로젝트 있어?,"학기 내내 끌고 가는 큰 프로젝트는 없다고 보면 돼. 리뷰 기준으로는 ‘프로젝트 없다’는 말이 많고, 평가도 주로 중간·기말시험이랑 간단한 레포트로 이루어져.",32,,,,
인류공동유산의이해와보존 중간고사 있어?,"있어. 범위가 넓고 PPT 분량도 많아서 양이 많게 느껴지지만, 문제 자체의 난이도는 높지 않다는 후기가 많아. 암기만 어느 정도 해두면 충분히 풀 수 있는 수준.",32,,,,
인류공동유산의이해와보존 기말고사 있어?,"기말도 있어. 중간처럼 PPT 내용을 바탕으로 나온다고 하고, “시험범위가 많긴 한데 막상 풀어보면 어렵지는 않다”, “대충 찍었는데 A+ 나왔다” 같은 얘기도 있어서 난도보다는 양이 부담인 스타일.",32,,,,
인류공동유산의이해와보존 과제 있어?,"과제는 있긴 한데 ‘많다’까지는 아냐. 중간에 한 번 정도 레포트 쓰기 + 몇 번의 가벼운 과제가 있는 정도라, 다른 교양에 비해 과제 폭탄 느낌은 아니라는 편.",32,,,,
인류공동유산의이해와보존 과제 어려워?,대부분 쉬운 편이야. 수업 내용 정리하거나 느낀 점 쓰는 레포트라 형식만 맞춰서 성실하게 쓰면 부담 없이 제출 가능하다는 후기가 있어.,32,,,,
인류공동유산의이해와보존 교수님 어때?,"친절하고 부드러운 편인데, PPT 스타일은 호불호가 갈려. 피피티 슬라이드가 많고 글자도 빼곡해서 “가독성이 떨어지고 난해하다”는 말이 있고, 항상 5분 정도 늦게 들어오신다는 얘기도 있어. 그래도 질문하면 잘 설명해 주고, 시험·레포트 채점도 크게 까다롭지는 않다는 평이 많아.",32,,,,
인류공동유산의이해와보존 퀴즈 있어?,"주기적으로 보는 퀴즈는 거의 없다고 보면 돼. 평가 비중은 중간·기말시험이 크고, 거기에 간단한 레포트·과제 몇 개가 더해지는 구조라는 식의 후기가 대부분이야.",32,,,,
인류공동유산의이해와보존 수업 난이도는?,"내용·시험 자체는 쉬운 편인데 ‘양’ 때문에 살짝 버거울 수 있는 정도. PPT 분량이 많고 시험범위도 넓지만, 암기 위주라서 외우는 것만 잘 해두면 학점 따기 쉽다는 말이 많아. 암기에 자신 있으면 체감 난이도는 낮은 교양 쪽에 속해.",32,,,,
인류공동유산의이해와보존 팀플 있어?,"정식 팀플·프로젝트는 없다는 후기가 많아. 예전 강의평에는 “조별 모임 없다”는 말이 많았고, 이번 학기에 수업 중 간단한 조별활동이 생겼다는 얘기도 있지만, 성적에 크게 비중을 두는 ‘큰 팀플’은 아니라는 쪽이야. 적어도 발표용 대형 팀프로젝트 때문에 스트레스 받을 정도는 아니라는 느낌.",32,,,,
인류공동유산의이해와보존 시험 어떻게 나와?,"중간·기말 둘 다 PPT 기반 암기형 시험으로 나와. 슬라이드에서 다뤘던 개념·사례 위주로 범위가 넓게 잡혀 있고, 유형은 객관식/단답·서술이 섞여 있는 전형적인 교양시험 스타일이라고 보면 돼. 범위가 많아도 난도는 높지 않아서, PPT 위주로 정리해서 몇 번만 돌려 보면 B+~A+까지도 노려볼 수 있다는 후기가 많아.",32,,,,
목요일 7 교양 뭐 있어?,정수환 교수님의 인류공동유산의이해와보존수업이 있어,32,,,,
목요일 7 교양 알려줘,정수환 교수님의 인류공동유산의이해와보존수업이 있어,32,,,,
황선남 교수님의 전쟁과무기체계 온라인 수업이야?,"주로 PPT 기반으로 설명하시는 오프라인 중심 강의지만, 온라인 과제(토론글·레포트) 제출이 많아 비대면 과제 비중도 높아요.",33,,,,
황선남 교수님의 전쟁과무기체계 프로젝트 있어?,"프로젝트는 없고, 매주 사이버캠퍼스에 자기 생각을 올리는 간단한 토론글만 있어요.",33,,,,
황선남 교수님의 전쟁과무기체계 중간고사 있어?,"대부분 중간고사는 시험 대신 레포트 대체과제로 진행되고, 난이도는 쉬운 편이에요.",33,,,,
황선남 교수님의 전쟁과무기체계 기말고사 있어?,"기말도 보통 대체 레포트로 제출하지만, 어떤 학기는 실제 시험 보는 경우도 있어요. 그래도 어렵지 않아요.",33,,,,
황선남 교수님의 전쟁과무기체계 과제 있어?,매주 수업마다 사캠에 자신의 생각을 한 줄~두 줄 쓰는 토론 과제가 하나씩 있어요. 이것만 꾸준히 하면 됩니다.,33,,,,
황선남 교수님의 전쟁과무기체계 과제 어려워?,"매우 쉬운 편이고, 형식만 맞춰서 제출하면 A+까지 충분히 노릴 수 있을 정도로 부담이 없어요.",33,,,,
황선남 교수님의 전쟁과무기체계 교수님 어때?,"친절하고 학생들 성적 잘 챙겨주려는 스타일이며, 열정적이고 젠틀하다는 후기가 많아요.",33,,,,
황선남 교수님의 전쟁과무기체계 퀴즈 있어?,퀴즈는 없고 토론글 + 중간·기말 레포트가 평가의 전부예요.,33,,,,
황선남 교수님의 전쟁과무기체계 수업 난이도는?,난이도는 낮은 편이지만 PPT 읽기식 강의라 조금 졸릴 수 있어요. 그래도 학점 따기는 매우 쉬워요.,33,,,,
황선남 교수님의 전쟁과무기체계 팀플 있어?,팀플은 전혀 없어요. 전체가 개인 과제 중심이에요.,33,,,,
황선남 교수님의 전쟁과무기체계 시험 어떻게 나와?,"시험은 거의 중간·기말 레포트 2번으로 대체되며, 주제·양식이 미리 알려져서 쉽게 준비할 수 있어요.",33,,,,
"화요일 3,4 교양 뭐 있어?",황선남 교수님의 전쟁과무기체계 수업 / 이성복 교수님의 전쟁과무기체계 수업 / 전인수 교수님의 자연과 인간 수업 / 곽안나 교수님의 음악으로 세상읽기 수업 / 이은화 교수남의 유튜버와영상제작 수업 / 최완욱 교수님의 골프의이론과실제 수업 / 윤서영 교수님의 반려동물과 현대사회 수업 / 이승준 교수님의 한국사탐방 수업 / 박영진 교수님의 진로탐색과 미래설계 수업 / 유준석 교수님의 정치와 사회 수업이 있어,216,,,,
"화요일 3,4 교양 알려줘",황선남 교수님의 전쟁과무기체계 수업 / 이성복 교수님의 전쟁과무기체계 수업 / 전인수 교수님의 자연과 인간 수업 / 곽안나 교수님의 음악으로 세상읽기 수업 / 이은화 교수남의 유튜버와영상제작 수업 / 최완욱 교수님의 골프의이론과실제 수업 / 윤서영 교수님의 반려동물과 현대사회 수업 / 이승준 교수님의 한국사탐방 수업 / 박영진 교수님의 진로탐색과 미래설계 수업 / 유준석 교수님의 정치와 사회 수업이 있어,216,,,,
이성복 교수님의 전쟁과무기체계 온라인 수업이야?,"대면으로 두 시간 풀강으로 진행되지만, 매주 간단한 온라인 과제가 있어서 온라인 활동 비중도 있어요.",34,,,,
이성복 교수님의 전쟁과무기체계 프로젝트 있어?,"별도의 큰 프로젝트는 없고, 매주 내주는 온라인 과제와 중간·기말 보고서만 성실히 하면 됩니다.",34,,,,
이성복 교수님의 전쟁과무기체계 중간고사 있어?,필기시험 대신 중간고사는 보고서 대체라서 문제 푸는 시험은 보지 않아요.,34,,,,
이성복 교수님의 전쟁과무기체계 기말고사 있어?,기말도 마찬가지로 보고서 형식의 대체 과제로 진행돼서 시험지 풀이는 없습니다.,34,,,,
이성복 교수님의 전쟁과무기체계 과제 있어?,"매주 간단한 온라인 과제가 하나씩 있고, 중간·기말에 제출하는 보고서가 주요 평가 요소예요.",34,,,,
이성복 교수님의 전쟁과무기체계 과제 어려워?,"내용 자체가 어렵지 않아서 금방 끝낼 수 있는 수준이고, 크게 부담되는 과제는 아니라는 후기가 많아요.",34,,,,
이성복 교수님의 전쟁과무기체계 교수님 어때?,"처음 부임하셨다고 들었는데, 엄청 친절하시고 수업도 항상 열정적으로 해주셔서 다시 다른 교양도 듣고 싶을 정도로 좋으신 교수님이에요.",34,,,,
이성복 교수님의 전쟁과무기체계 퀴즈 있어?,"별도의 쪽지시험이나 퀴즈는 없고, 온라인 과제와 중간·기말 보고서로 평가가 이루어집니다.",34,,,,
이성복 교수님의 전쟁과무기체계 수업 난이도는?,"두 시간 풀강이라 집중이 조금 힘들 수는 있지만, 내용이나 평가 자체는 어렵지 않고 전반적으로 듣기 편한 수준이에요",34,,,,
이성복 교수님의 전쟁과무기체계 팀플 있어?,"팀플은 전혀 없고, 전부 개인 과제와 개인 보고서로 진행돼요",34,,,,
이성복 교수님의 전쟁과무기체계 시험 어떻게 나와?,"중간·기말 모두 보고서 형태의 대체 과제로 나오고, 난이도도 높지 않아서 성실히 작성하면 충분히 좋은 성적을 받을 수 있는 방식이에요.",34,,,,
지구의 탐구 온라인 수업이야?,"네, 사이버 강의로 진행되는 비대면 수업이에요. 녹화 강의를 보고 과제와 시험도 온라인으로 치르는 방식이라 집에서 듣기 편합니다.",35,,,,
지구의 탐구 프로젝트 있어?,"팀 프로젝트는 없고, 개인으로 작성하는 탐구보고서와 최종보고서가 있어요. 자유주제 보고서도 한 번 정도 나옵니다.",35,,,,
지구의 탐구 중간고사 있어?,"있어요. 보통 카메라 켜고 탐구보고서 형식의 서술형 평가를 보거나, 중간고사를 보고서 대체과제로 제출하는 방식이에요. 난이도는 수업만 잘 따라가면 충분히 풀 수 있는 수준입니다.",35,,,,
지구의 탐구 기말고사 있어?,"네, 기말도 있습니다. 파일을 내려받아서 제한 시간 안에 서술형으로 작성한 뒤 업로드/메일 제출하는 형식이에요. 오픈북이고 문제도 수업 자료에서 많이 나오지만, 범위가 넓고 시간 제한이 있어서 느긋하게만 볼 수 있는 시험은 아니에요.",35,,,,
지구의 탐구 과제 있어?,"과제가 꽤 많은 편이에요.
구름 사진 찍어 카페에 올리기, 일상에서 지구 지키기 실천 인증, 수업 내용 기반 탐구보고서 여러 개, 기후변화 관련 댓글 작성, 최종보고서 등 보고서·게시글 형태 과제가 6~7개 이상 나옵니다.",35,,,,
지구의 탐구 과제 어려워?,"양이 많아서 귀찮을 수는 있지만, 대부분 수업 내용 복습 수준이라 시간만 조금 투자하면 어렵지 않게 쓸 수 있는 과제예요. 교수님이 답이나 방향을 많이 알려주셔서 따라 쓰는 느낌에 가깝다는 후기도 많아요.",35,,,,
지구의 탐구 교수님 어때?,"공지사항도 자주 올려주시고, 질문하면 답장도 빠르게 해 주시는 편이라 학생들을 많이 챙겨 주세요. 수업 전후로 노래도 틀어주시고, 지구환경·기후 문제에 대한 열정이 강해서 본인 가치관을 진심으로 전달하려고 하시는 스타일입니다. 전체적으로 친절하고 열정적인 교수님이라는 평가가 많아요.",35,,,,
지구의 탐구 퀴즈 있어?,"따로 자주 보는 객관식 퀴즈보다는, 탐구보고서와 중간·기말 서술형 시험으로 평가하는 비중이 훨씬 커요. 가벼운 문제풀이형 보고서가 과제처럼 나오는 정도입니다.",35,,,,
지구의 탐구 수업 난이도는?,"내용 자체는 고등학교 지구과학 1 수준 + 환경·기후 문제라서 과학을 아예 안 해본 문과생에게는 조금 생소할 수 있지만, 중·고등 때 지구과학을 좋아했다면 무난하거나 재미있다는 후기가 많아요. 과제가 많고 시험이 서술형이라 “하는 만큼 성적 나오는 수업”에 가깝습니다.",35,,,,
지구의 탐구 팀플 있어?,팀플은 없어요. 모든 과제와 보고서는 개인 단위로 작성합니다.,35,,,,
지구의 탐구 시험 어떻게 나와?,"중간·기말 모두 서술형, 오픈북, 시간 제한 있는 온라인 시험이에요. 카메라 켜고 탐구보고서를 작성하거나, 시험지를 다운받아 손/타이핑으로 답안 쓰고 제출하는 방식입니다. 문제는 대부분 강의·자료에서 그대로 나오지만 서술형이라, 수업 내용을 이해하고 정리해 두면 A·A+까지 충분히 노릴 수 있다는 후기가 많아요.",35,,,,
자연과 인간 온라인 수업이야?,"오프라인 수업이고, 영상 시청 후 과제·시험을 온라인으로 제출하는 형식이에요.",36,,,,
자연과 인간 프로젝트 있어?,"네, 조별 자료조사 + PPT 제작 + 발표로 이루어진 팀 프로젝트가 있고, 발표 시간이 25분 이상이어야 해서 준비 부담이 꽤 큰 편이에요.",36,,,,
자연과 인간 중간고사 있어?,"있어요. 서술형 문제 2개 정도 나오고, 교수님이 수업 시간에 예상 문제를 미리 알려줘서 외우기만 하면 풀 수 있을 정도로 난이도는 낮아요.",36,,,,
자연과 인간 기말고사 있어?,"기말도 서술형 시험으로 보고, 중간처럼 문제를 미리 찝어 주는 편이라 내용 자체는 어렵지 않지만, 실제 성적은 생각보다 짠 편이라는 후기가 많아요.",36,,,,
자연과 인간 과제 있어?,"과제가 꽤 많아요. 레포트 과제, 매 강의 후 유튜브 영상 보고 감상·질문 답 쓰기, 조별 발표, 개인 레포트 등 매주 또는 수시로 해야 할 것들이 있습니다.",36,,,,
자연과 인간 과제 어려워?,"내용 자체는 어렵지 않지만, 양이 많고 레포트를 논문처럼 꽤 꼼꼼하게 써야 해서 귀찮고 부담스럽다는 평가가 많아요. 팀플·개인과제 모두 성적 비중이 커서 체감 난이도가 올라가는 편입니다.",36,,,,
자연과 인간 교수님 어때?,"학생들 기준으로 호불호가 크게 갈려요. 시험 문제를 미리 알려주고 조별과제 잘하면 칭찬도 많이 해 주지만, 발음·전달력이 떨어져 내용이 잘 안 들린다는 말과, 팀장에게 전화해서 크게 혼내는 경우가 있었다는 후기도 있어요. 공지 타이밍과 채점 기준이 조금 애매하다는 불만도 있습니다.",36,,,,
자연과 인간 퀴즈 있어?,"따로 객관식 퀴즈를 자주 보는 수업은 아니고, 매주 유튜브 영상 보고 간단한 감상/질문에 답하는 과제가 사실상 퀴즈처럼 들어간다고 보면 돼요.",36,,,,
자연과 인간 수업 난이도는?,"배우는 내용은 고등학교 때 자연·과학 시간에 다뤘던 수준이라 어렵지 않고 시험도 오픈북·예상문제 위주라 공부 난이도는 낮은 편이에요. 다만 팀플·레포트 비중이 높고 채점 기준이 깐깐/불명확해서, 학점 따기만 놓고 보면 체감 난이도는 높다는 의견이 많아요.",36,,,,
자연과 인간 팀플 있어?,"네, 팀플이 매우 중요한 수업이에요. 책 내용을 요약해서 발표하는 조별 과제가 있고, 발표 시간도 길어서(조별 25분 이상) 팀 구성과 팀워크에 따라 스트레스가 크게 달라집니다.",36,,,,
자연과 인간 시험 어떻게 나와?,"중간·기말 모두 서술형 시험이고, 시험 전에 어떤 문제가 나오는지 거의 다 알려 주셔서 준비 자체는 쉽지만, 채점 기준이 명확하지 않아 시험이 쉬워도 성적이 기대만큼 안 나올 수 있다는 후기가 많아요. 시험 자체의 변별력은 낮고, 팀플·레포트가 성적을 좌우하는 구조에 가깝습니다.",36,,,,
"목요일 6,7 교양 뭐 있어?",조은환 교수님의 현대사회와 디자인 수업이 있어,56,,,,
"목요일 6,7 교양 알려줘",조은환 교수님의 현대사회와 디자인 수업이 있어,56,,,,
천문학과 우주의 이해  온라인 수업이야?,"주로 대면 강의로 진행되고, 쉬는 시간 거의 없이 50분+50분 꽉 채워서 수업해요. 과제(OX 퀴즈)만 사이버캠퍼스로 온라인 제출하는 방식이에요.",37,,,,
천문학과 우주의 이해 프로젝트 있어?,"팀플이나 별도의 프로젝트는 없고, 중간 이후부터 매주 나오는 OX 퀴즈 과제랑 마지막 기말고사만 준비하면 됩니다.",37,,,,
천문학과 우주의 이해 중간고사 있어?,중간고사는 따로 없고 기말시험만 한 번 봐요. 중간고사 시즌쯤부터 OX 퀴즈 과제가 여러 번 나오는 편이에요.,37,,,,
천문학과 우주의 이해 기말고사 있어?,"네, 기말 필기시험 한 번 있습니다. 문제 수가 40문제 이상이고, 선택지 5개 중 정답 2개 고르는 식이라 난이도는 꽤 높은 편이에요.",37,,,,
천문학과 우주의 이해 과제 있어?,"있어요. 8주차 전후부터 사이버캠퍼스에 OX 퀴즈(10문제 정도)를 10개 이상 풀어야 하고, 정답 여부보다는 기한 내 제출 여부만 보는 과제예요.",37,,,,
천문학과 우주의 이해 과제 어려워?,"내용 자체는 수업만 들으면 찾기 쉬운 수준이라 어렵지 않고, 시간만 조금 투자하면 되는 편이에요. OX라서 AI 돌려도 될 정도라는 말도 있을 만큼 부담은 크지 않아요.",37,,,,
천문학과 우주의 이해 교수님 어때?,"입담이 엄청 좋고 설명을 재밌게 잘하셔서 수업 자체는 정말 재밌고 질이 높다는 평이 많아요. 다만 가끔 저질스러운 농담이나 드립이 섞이고, 출석·수업 태도에는 꽤 엄격한 편이라는 후기도 있어요.",37,,,,
천문학과 우주의 이해 퀴즈 있어?,"네, 중간 이후부터 매주 사이버캠퍼스 OX 퀴즈가 과제로 나와요. 정답과는 상관없이 제출만 하면 점수가 들어가는 구조라 난이도는 낮아요.",37,,,,
천문학과 우주의 이해 수업 난이도는?,"내용은 천문학·지구과학 세계사·학자들 이름·핵융합 반응 등이라 교양 치고는 내용량도 많고 꽤 어렵게 느껴질 수 있는 수업이에요. 중·고등학교 지구과학을 좋아했다면 흥미롭지만, “학점 쉬운 교양”을 기대한다면 비추천이라는 의견이 많아요",37,,,,
천문학과 우주의 이해 팀플 있어?,팀플·조모임은 없고 전부 개인 과제(OX 퀴즈)와 개인 시험(기말)으로 평가됩니다.,37,,,,
천문학과 우주의 이해 시험 어떻게 나와?,"기말고사 한 번으로 평가되고, 객관식에 가까운 형식(5지선다 중 정답 2개 선택, 문제 수 많음)으로 꽤 어렵게 나와요. 대신 모두가 어렵게 느끼는 만큼 성적은 커브를 넉넉하게 주는 편이라, 수업 집중하고 PPT/자료 위주로 며칠만 제대로 공부하면 A, A+도 충분히 나오는 과목이에요.",37,,,,
"수요일 5,6 교양 뭐 있어?",정연철 교수님의 천문학과 우주의 이해 수업 / 전인수 교수님의 환경과 기술 수업 / 임청화 교수님의 문학과 미술로 만나는 음악 수업 / 이재은 교수님의 문학과 미술로 만나는 음악 수업 / 정재미 교수님의 문화예술교육개론 수업 / 박재서 교수님의 현대생활과 체육 수업 / 곽안나 교수님의 클래식음악 산책수업 / 김제영 교수님의 공연예술의 이해와 참여 수업 / 정진욱 교수님의 경제학의 이해 수업이 있어,217,,,,
"수요일 5,6 교양 알려줘",정연철 교수님의 천문학과 우주의 이해 수업 / 전인수 교수님의 환경과 기술 수업 / 임청화 교수님의 문학과 미술로 만나는 음악 수업 / 이재은 교수님의 문학과 미술로 만나는 음악 수업 / 정재미 교수님의 문화예술교육개론 수업 / 박재서 교수님의 현대생활과 체육 수업 / 곽안나 교수님의 클래식음악 산책수업 / 김제영 교수님의 공연예술의 이해와 참여 수업 / 정진욱 교수님의 경제학의 이해 수업이 있어,217,,,,
환경과 기술  온라인 수업이야?,"최근에는 싸강(비대면 온라인) 으로 진행된 학기가 많고, 강의 영상 보고 과제·토론·시험을 온라인으로 제출하는 방식이야. 어떤 학기엔 대면+조별발표로도 했던 것 같아서 학기마다 방식이 조금 달라. 너가 한번 더 찾아보는게 좋을거 같아",38,,,,
환경과 기술 프로젝트 있어?,"있어. 조별 프로젝트(환경오염·수질오염 등 주제 조사 후 PPT 발표) 가 필수고, 여기서 발표 25분 이상 채워야 해서 준비할 게 많고 꽤 스트레스 받았다는 후기가 많아.",38,,,,
환경과 기술 중간고사 있어?,"있어. 중간고사는 서술형 시험이고, 교수님이 미리 예제·문제를 알려줘서 거의 그대로 나온다고 해. 오픈북은 아니고, 알려준 답안을 외워서 적는 느낌이야.",38,,,,
환경과 기술 기말고사 있어?,"기말도 있어. 기말 역시 서술형이고 시험 전에 문제를 공개해 줘서 난이도 자체는 높지 않지만, 다들 알고 들어가서 변별력은 거의 없다고 보면 돼.",38,,,,
환경과 기술 과제 있어?,"과제 많아.

조별 발표(환경 관련 주제)

그 내용을 바탕으로 개인 레포트

매주 유튜브 영상 찾아보고 느낀 점 쓰는 토론 과제 등
중간·기말 시험까지 합치면 웬만한 전공 이상으로 할 일이 많다는 평이야.",38,,,,
환경과 기술 과제 어려워?,"내용 자체는 환경오염, 수질오염 같은 기초라 개념이 어렵진 않은데, 발표 25분 채우기, 개인 레포트 분량(3~4장 이상), 매주 토론까지 합치면 양이 많고 귀찮아서 체감 난이도는 높은 편이야. 레포트 채점도 꽤 깐깐하다는 말이 많고",38,,,,
환경과 기술 교수님 어때?,"호불호가 크게 갈려. 시험 문제를 미리 알려주고, 형식상으로는 “꿀교양”처럼 보이지만,
조장에게 전화해서 목소리 높이거나, 화장실 가는 학생 대하는 태도, 질문에 대한 반응 등에서 학생들 입장에선 불편했다는 후기가 많아. 학점 기준도 잘 설명 안 해줘서 답답했다는 말도 많고.",38,,,,
환경과 기술 퀴즈 있어?,"객관식 퀴즈 시험보다는, 매주 토론·질문에 답 쓰기가 퀴즈처럼 들어가는 구조야. 유튜브 영상 직접 찾아보고 요약·소감 쓰는 식이라 어렵진 않지만 꽤 귀찮다고 해.",38,,,,
환경과 기술 수업 난이도는?,"배우는 내용은 쉬운 편인데(환경·과학 기초 수준),

팀플 + 개인 레포트 + 매주 토론 + 시험 2번
이라서 전체 workload가 커. 시험도 모두 문제를 알고 들어가서 암기만 하면 되지만, 그만큼 레포트·팀플 비중과 채점이 성적을 좌우해서 “학점 따기는 힘든 수업” 이라는 평가가 많아.",38,,,,
환경과 기술 팀플 있어?,"있어. 조별 발표 팀플이 핵심이고, 조·조장 모두 랜덤으로 정해져. 발표는 25분 이상 채워야 하고, 시험 기간과 겹쳐서 상당히 부담됐다는 후기가 많아.",38,,,,
환경과 기술 시험 어떻게 나와?,"중간·기말 서술형 시험 2번 보고, 두 시험 모두 문제를 미리 공개해 줘. 오픈북은 아니고, 알려준 답을 외워서 길게 쓰는 싸움이라 시험 자체의 변별력은 거의 없고, 대신 레포트·조별발표·과제에서 세게 점수를 가르는 스타일이야. 그래서 “시험은 쉬운데 왜 성적이 낮은지 모르겠다”는 후기가 많은 편이야.",38,,,,
